Time,Accel1_X [m/s^2],Accel1_Y [m/s^2],Accel1_Z [m/s^2],Rotation1_X [rad/s],Rotation1_Y [rad/s],Rotation1_Z [rad/s],Accel2_X [m/s^2],Accel2_Y [m/s^2],Accel2_Z [m/s^2],Rotation2_X [rad/s],Rotation2_Y [rad/s],Rotation2_Z [rad/s]
2025-02-24 12:47:13.593,0.03,0.02,0.02,-0.06,-0.00,-0.02,,-4.54,0.03,9.06,-0.01,-0.02,0.02
2025-02-24 12:47:13.626,0.01,0.01,0.02,-0.06,-0.00,-0.02,,-4.78,-0.11,8.95,-0.01,-0.02,0.01
2025-02-24 12:47:13.673,0.00,0.01,0.01,-0.06,-0.00,-0.02,,-4.61,-0.09,9.01,-0.02,-0.01,0.01
2025-02-24 12:47:13.710,0.01,0.02,-0.00,-0.06,-0.01,-0.02,,-4.68,0.01,8.98,-0.01,-0.02,0.01
2025-02-24 12:47:13.744,0.01,0.02,0.04,-0.06,-0.00,-0.02,,-4.59,-0.03,9.00,-0.01,-0.02,0.02
2025-02-24 12:47:13.776,0.03,0.02,0.01,-0.06,-0.01,-0.02,,-4.60,0.01,9.03,-0.02,-0.02,0.01
2025-02-24 12:47:13.810,0.00,0.03,0.00,-0.06,-0.01,-0.02,,-4.69,-0.03,9.00,-0.02,-0.02,0.02
2025-02-24 12:47:13.844,0.00,0.03,0.01,-0.06,-0.01,-0.02,,-4.63,0.02,9.02,-0.01,-0.02,0.02
2025-02-24 12:47:13.878,0.02,0.01,0.02,-0.06,-0.01,-0.02,,-4.77,-0.06,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:13.918,0.01,0.02,0.00,-0.06,-0.01,-0.02,,-4.57,0.01,9.00,-0.02,-0.02,0.02
2025-02-24 12:47:13.959,0.02,0.02,0.02,-0.06,-0.00,-0.02,,-4.72,-0.04,9.04,-0.02,-0.02,0.01
2025-02-24 12:47:13.993,0.02,0.00,0.01,-0.06,-0.00,-0.02,,-4.63,0.01,9.07,-0.02,-0.02,0.02
2025-02-24 12:47:14.026,0.01,-0.00,0.05,-0.06,-0.01,-0.02,,-4.66,-0.03,9.06,-0.01,-0.02,0.01
2025-02-24 12:47:14.068,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.67,-0.05,9.00,-0.02,-0.02,0.01
2025-02-24 12:47:14.092,0.02,0.00,0.04,-0.06,-0.01,-0.02,,-4.65,0.01,9.01,-0.02,-0.02,0.02
2025-02-24 12:47:14.140,0.04,-0.01,0.05,-0.06,-0.01,-0.02,,-4.73,-0.06,8.96,-0.01,-0.02,0.02
2025-02-24 12:47:14.175,0.02,0.01,0.01,-0.06,-0.01,-0.02,,-4.62,-0.05,8.93,-0.02,-0.02,0.02
2025-02-24 12:47:14.209,0.01,0.01,0.01,-0.06,-0.01,-0.02,,-4.73,-0.03,8.95,-0.02,-0.02,0.02
2025-02-24 12:47:14.244,0.02,0.00,0.01,-0.06,-0.00,-0.02,,-4.58,0.06,9.06,-0.02,-0.02,0.02
2025-02-24 12:47:14.278,0.03,0.00,0.01,-0.06,-0.00,-0.02,,-4.66,-0.02,9.03,-0.02,-0.02,0.01
2025-02-24 12:47:14.310,0.00,0.01,0.03,-0.06,-0.01,-0.02,,-4.61,0.00,8.98,-0.01,-0.02,0.01
2025-02-24 12:47:14.344,0.00,0.02,0.05,-0.06,-0.00,-0.02,,-4.75,0.02,8.95,-0.02,-0.02,0.02
2025-02-24 12:47:14.391,0.00,-0.01,-0.01,-0.06,-0.00,-0.02,,-4.64,-0.01,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:14.426,-0.00,-0.01,0.01,-0.06,-0.00,-0.02,,-4.69,-0.03,9.05,-0.02,-0.02,0.02
2025-02-24 12:47:14.460,0.02,0.01,0.03,-0.06,-0.00,-0.02,,-4.63,-0.02,8.95,-0.02,-0.02,0.02
2025-02-24 12:47:14.493,0.03,0.00,0.04,-0.06,-0.00,-0.02,,-4.68,-0.02,9.04,-0.02,-0.02,0.02
2025-02-24 12:47:14.526,0.01,0.00,0.04,-0.06,-0.00,-0.02,,-4.72,-0.01,9.05,-0.01,-0.01,0.01
2025-02-24 12:47:14.569,0.02,0.02,0.03,-0.06,-0.00,-0.02,,-4.60,0.02,9.03,-0.02,-0.02,0.02
2025-02-24 12:47:14.607,0.02,0.02,0.04,-0.06,-0.00,-0.02,,-4.65,-0.03,8.99,-0.01,-0.02,0.02
2025-02-24 12:47:14.642,0.01,0.03,0.01,-0.06,-0.01,-0.02,,-4.59,-0.03,8.98,-0.02,-0.02,0.02
2025-02-24 12:47:14.677,0.02,0.03,0.00,-0.06,-0.00,-0.02,,-4.71,0.01,8.96,-0.02,-0.02,0.01
2025-02-24 12:47:14.711,0.02,0.01,0.05,-0.06,-0.00,-0.02,,-4.58,-0.06,8.96,-0.01,-0.02,0.01
2025-02-24 12:47:14.744,0.01,0.01,0.02,-0.06,-0.00,-0.02,,-4.57,0.04,9.00,-0.02,-0.02,0.02
2025-02-24 12:47:14.782,0.00,0.01,0.04,-0.06,-0.01,-0.02,,-4.66,0.01,8.99,-0.02,-0.02,0.01
